"franchise_id","franchise_name","user_name","user_id"
5,"RaisingZabar","RaisingZabar","595838306017669120"
6,"TNT2172","TNT2172","727260706579247104"
7,"BrendenH","BrendenH","544200275311587328"
8,"Mbeck1602","Mbeck1602","645016768095543296"
9,"LenyintheSkyywithDiamonds","Snowdrift","781745801843064832"
10,NA,NA,NA
11,"Ruxin12","Ruxin12","771905206924468224"
12,"LALAMS805","LALAMS805","781782703572922368"
1,"","Goresmyhero","474787485428215808"
2,"abillings","abillings","341087626360565760"
3,"AceUpMeSleeve","Paulthekid","541752557542461440"
4,"Murderous Soup","Cruzs","468683458999218176"
5,"RonSwanson44","RonSwanson44","534875419586797568"
6,"tnsullivan05","tnsullivan05","330416158870085632"
7,"ballsdeepfantas","ballsdeepfantas","381971174260797440"
8,"Tight End of the World","aldo216","650148989739569152"
9,"goodjenkins","goodjenkins","581933533807816704"
10,"McmasterMike","McmasterMike","562793020851978240"
11,"UnpolishedTurd","UnpolishedTurd","680210056876191744"
12,"johnnyutah41","johnnyutah41","730627183374106624"
1,"TheMudHens","TheMudHens","556137721923207168"
2,"HeWhoKills","mindkrym","384208705396305920"
3,"Davimitch97","Davimitch97","461343671757828096"
4,"Spano15","Spano15","338357062582951936"
5,"bspills","bspills","470439063707447296"
6,"primjuice","primjuice","469725708843741184"
7,"Benadick","Benadick","554098654842785792"
8,"TimB7","TimB7","466710679957532672"
9,"ChiBears45","ChiBears45","855252454231613440"
10,"EdsBackpack","EdsBackpack","472035634760904704"
11,"aldo216","aldo216","650148989739569152"
12,"The Wet Bandits","TJGrimeyy","596553219094659072"
1,"Bhart324","Bhart324","475653939723759616"
2,"aldo216","aldo216","650148989739569152"
3,"DirtyRhubarb","DirtyRhubarb","786063500064997376"
4,"Defalco","Defalco","693191643301470208"
5,"GiovanniRC","GiovanniRC","709120099411378176"
6,"greenwinters","greenwinters","792259412457824256"
7,"Defending Champ","Jmey5","464449403826991104"
8,"fatherwhale823","fatherwhale823","606617645143379968"
9,"TheDutchDynasty","TheDutchDynasty","697751939391246336"
10,"Yari’s Autonomics ","JackPowers","608413297519169536"
11,"Starwberry Herbert","timmers18","602005095554551808"
12,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
1,"goodjenkins","goodjenkins","581933533807816704"
2,"Da ManBearPigs","thekev69","599921538828926976"
3,"AK6rider","AK6rider","325861597597663232"
4,"The Replacements","McmasterMike","562793020851978240"
5,"P - 1","TheDealerIsBack","471718938078605312"
6," Chicago Beers","JBaenen","567543904188628992"
7,"Drinking 0-17 TequiLAWs","aldo216","650148989739569152"
8,"","2HeadedBoy22","476729203119616000"
9,"Trade Block 4 Attention ","whenbozmetbo","384400817240686592"
10,"Slayer of Kevys","Grims","459962934030757888"
11,"For The Boys ","AMoog","563090689768841216"
12,"Malleable Turd","TheJetSon","577715487950020608"
1,"Chase Jam","SStory93","465995740431249408"
2,"tadair13","tadair13","328674244391088128"
3,"Andrew3477","Andrew3477","450618537002659840"
4,"Mr. Freak","aldo216","650148989739569152"
5,"goodjenkins","goodjenkins","581933533807816704"
6,"I Fields It in My Bones","Kleeve","599689235703853056"
7,"The Noon Nightmare","Noonundo","457651459496865792"
8,"dnowak21","dnowak21","465965804781826048"
9,"Javonte’s Inferno/Rebuild","AndrewE","465970270214025216"
10,"Large Chubb Club ","twillcox94","422943612007878656"
11,"David91R","David91R","553262899126394880"
12,"Bilbo Dobbins ","ObiWanKeJoeBi","553279921989537792"
1,"stanleychad","stanleychad","279816408622166016"
2,"DownunderEagle","DownunderEagle","562055743272710144"
3,"","izNotoriousiz","617978590180511744"
4,"aldo216","aldo216","650148989739569152"
5,"bkoh","bkoh","784872761553219584"
6,"SuckedForLuck","SuckedForLuck","736378380685062144"
7,"9th Place Game","McFresh","471199066429059072"
8,NA,NA,NA
9,"kidprosper","kidprosper","207744649543024640"
10,"Jones Jones Jones Jones","RiverboatDave","462028117192470528"
11,"cdyroff","cdyroff","576648052547293184"
12,"NeoFlock","NeoFlock","600840449929834496"
1,"NJDeviLL","NJDeviLL","574722608504483840"
2,"Balt/Chicago--Balt/Den","Game-of-Thrones","468914029348253696"
3,"Rub my Chubb","TDog64","742220393695346688"
4,"Gord56","Gord56","723721972516741120"
5,"Nelly1","Nelly1","723414698690699264"
6,"Gklebaum","Gklebaum","735219700711170048"
7,"Trey & The Killa K’s","datboyrio73","518964966025744384"
8,"Kbizzy52","Kbizzy52","473982253572026368"
9,"NJ-NY CrossTOWN","bluegoodie","596778929646256128"
10,"JohnnyRoss23","JohnnyRoss23","725546461206482944"
